Track name,Artist name,Album,Playlist name,Type,ISRC
"Pantera - Walk","","","Tudo e qualquer coisa","Playlist",""
"Scorpions - Wind Of Change","","","Tudo e qualquer coisa","Playlist",""
"Bonnie Tyler - Total Eclipse of the Heart","","","Tudo e qualquer coisa","Playlist",""
"Eagles - Hotel California (2013 Remaster)","","","Tudo e qualquer coisa","Playlist",""
"Bon Jovi - Always","","","Tudo e qualquer coisa","Playlist",""
"Foreigner - I Want to Know What Love Is (1999 Remaster)","","","Tudo e qualquer coisa","Playlist",""
"Roxette - It Must Have Been Love (From the Film ""Pretty Woman"")","","","Tudo e qualquer coisa","Playlist",""
"Extreme - More Than Words","","","Tudo e qualquer coisa","Playlist",""
"Cutting Crew - [I Just] Died In Your Arms","","","Tudo e qualquer coisa","Playlist",""
"Fleetwood Mac - Dreams (2004 Remaster)","","","Tudo e qualquer coisa","Playlist",""
"U2 - With Or Without You","","","Tudo e qualquer coisa","Playlist",""
"Player - Baby Come Back","","","Tudo e qualquer coisa","Playlist",""
"Boston - More Than a Feeling","","","Tudo e qualquer coisa","Playlist",""
"Roxette - Listen To Your Heart","","","Tudo e qualquer coisa","Playlist",""
"Chris Isaak - Wicked Game","","","Tudo e qualquer coisa","Playlist",""
"America - A Horse with No Name","","","Tudo e qualquer coisa","Playlist",""
"Elton John - Tiny Dancer","","","Tudo e qualquer coisa","Playlist",""
"Richard Marx - Right Here Waiting","","","Tudo e qualquer coisa","Playlist",""
"Kansas - Dust in the Wind","","","Tudo e qualquer coisa","Playlist",""
"Bryan Adams - [Everything I Do] I Do It For You (Classic Version)","","","Tudo e qualquer coisa","Playlist",""
"Poison - Every Rose Has Its Thorn","","","Tudo e qualquer coisa","Playlist",""
"Tom Petty - Free Fallin'","","","Tudo e qualquer coisa","Playlist",""
"Peter Cetera - Glory of Love","","","Tudo e qualquer coisa","Playlist",""
"Nazareth - Love Hurts (Single Edit)","","","Tudo e qualquer coisa","Playlist",""
"Foreigner - Waiting for a Girl like You","","","Tudo e qualquer coisa","Playlist",""
"John Mellencamp - Jack & Diane","","","Tudo e qualquer coisa","Playlist",""
"10cc - I'm Not In Love","","","Tudo e qualquer coisa","Playlist",""
"Eric Clapton - Wonderful Tonight","","","Tudo e qualquer coisa","Playlist",""
"John Lennon - Woman (Remastered 2010)","","","Tudo e qualquer coisa","Playlist",""
"The Rolling Stones - Angie (Remastered 2009)","","","Tudo e qualquer coisa","Playlist",""
"Chicago - If You Leave Me Now","","","Tudo e qualquer coisa","Playlist",""
"Heart - Alone","","","Tudo e qualquer coisa","Playlist",""
"Fleetwood Mac - Landslide","","","Tudo e qualquer coisa","Playlist",""
"James Taylor - Fire and Rain","","","Tudo e qualquer coisa","Playlist",""
"The Cars - Drive","","","Tudo e qualquer coisa","Playlist",""
"Bon Jovi - I'll Be There For You","","","Tudo e qualquer coisa","Playlist",""
"Al Stewart - Year of the Cat (2001 Remaster)","","","Tudo e qualquer coisa","Playlist",""
"Whitesnake - Is This Love (2017 Remaster)","","","Tudo e qualquer coisa","Playlist",""
"Air Supply - Making Love Out of Nothing at All","","","Tudo e qualquer coisa","Playlist",""
"John Waite - Missing You","","","Tudo e qualquer coisa","Playlist",""
"Phil Collins - Sussudio (2016 Remaster)","","","Tudo e qualquer coisa","Playlist",""
"REO Speedwagon - Keep on Loving You","","","Tudo e qualquer coisa","Playlist",""
"Bruce Springsteen - I'm On Fire","","","Tudo e qualquer coisa","Playlist",""
"Don McLean - Vincent","","","Tudo e qualquer coisa","Playlist",""
"Air Supply - All Out of Love","","","Tudo e qualquer coisa","Playlist",""
"Chicago - Hard to Say I'm Sorry / Get Away (2006 Remaster)","","","Tudo e qualquer coisa","Playlist",""
"Phil Collins - Don't Lose My Number (2016 Remaster)","","","Tudo e qualquer coisa","Playlist",""
"Heart - These Dreams","","","Tudo e qualquer coisa","Playlist",""
"Bread - Guitar Man","","","Tudo e qualquer coisa","Playlist",""
"Styx - Babe","","","Tudo e qualquer coisa","Playlist",""
"The Pretenders - I'll Stand by You","","","Tudo e qualquer coisa","Playlist",""
"Toto - Rosanna","","","Tudo e qualquer coisa","Playlist",""
"Joni Mitchell - Both Sides Now","","","Tudo e qualquer coisa","Playlist",""
"Whitesnake - Here I Go Again (1987 Version) (2017 Remaster)","","","Tudo e qualquer coisa","Playlist",""
"Mr. Mister - Broken Wings","","","Tudo e qualquer coisa","Playlist",""
"Journey - When You Love a Woman","","","Tudo e qualquer coisa","Playlist",""
"Gary Wright - Dream Weaver","","","Tudo e qualquer coisa","Playlist",""
"Fleetwood Mac - Sara (2015 Remaster)","","","Tudo e qualquer coisa","Playlist",""
"Stevie Nicks · Tom Petty and The Heartbreakers - Stop Draggin' My Heart Around (with Tom Petty and The Heartbreakers) (2016 Remaster)","","","Tudo e qualquer coisa","Playlist",""
"Mr. Big - To Be With You","","","Tudo e qualquer coisa","Playlist",""
"Daryl Hall & John Oates - One On One","","","Tudo e qualquer coisa","Playlist",""
"Journey - Open Arms (2022 Remaster)","","","Tudo e qualquer coisa","Playlist",""
"Kenny Loggins - Heart to Heart","","","Tudo e qualquer coisa","Playlist",""
"Eagles - Desperado (2013 Remaster)","","","Tudo e qualquer coisa","Playlist",""
"Eagles - The Best of My Love (2013 Remaster)","","","Tudo e qualquer coisa","Playlist",""
"FLOW - Colors","","","Tudo e qualquer coisa","Playlist",""
"Yumi Kawamura · Shihoko Hirata · Lyn · Lotus Juice · Benjamin Franklin · Lotus Juice · 喜多條敦志 · 喜多條敦志 - ROAD LESS TAKEN","","","Tudo e qualquer coisa","Playlist",""
"Lyn · Rike Schmalz · 喜多條敦志 · 喜多條敦志 - Invitation to Freedom","","","Tudo e qualquer coisa","Playlist",""
"ShakzN - Main Theme","","","Tudo e qualquer coisa","Playlist",""
"twenty one pilots - Holding on to You","","","Tudo e qualquer coisa","Playlist",""
"Pantera - Cowboys from Hell (2010 Remaster)","","","Tudo e qualquer coisa","Playlist",""
"Avenged Sevenfold - Hail to the King","","","Tudo e qualquer coisa","Playlist",""
"Avenged Sevenfold - Nightmare","","","Tudo e qualquer coisa","Playlist",""
"Avenged Sevenfold - A Little Piece of Heaven","","","Tudo e qualquer coisa","Playlist",""
"Mr. Big - Shine","","","Tudo e qualquer coisa","Playlist",""
"Hellsing Opening (Full Song)","","","Tudo e qualquer coisa","Playlist",""
"Bad Omens - Like A Villain","","","Tudo e qualquer coisa","Playlist",""
"Cigarettes After Sex - Apocalypse","","","Tudo e qualquer coisa","Playlist",""
"Michael Sembello - Maniac","","","Tudo e qualquer coisa","Playlist",""
"VK Blanka - Black Catcher","","","Tudo e qualquer coisa","Playlist",""
"Dead Poet Society - HURT","","","Tudo e qualquer coisa","Playlist",""
"Midge Ure - The Man Who Sold the World (2010 Remaster)","","","Tudo e qualquer coisa","Playlist",""
"Siam Shade - 1/3 No Junjo Na Kanjo","","","Tudo e qualquer coisa","Playlist",""
"Three Days Grace - I Hate Everything About You","","","Tudo e qualquer coisa","Playlist",""
"Poppy - new way out","","","Tudo e qualquer coisa","Playlist",""
"BAND-MAID · The Warning - SHOW THEM","","","Tudo e qualquer coisa","Playlist",""
"Cutting Crew - [I Just] Died In Your Arms","","","Tudo e qualquer coisa","Playlist",""
"Asking Alexandria - Someone, Somewhere","","","Tudo e qualquer coisa","Playlist",""
"Kenny Loggins - Danger Zone","","","Tudo e qualquer coisa","Playlist",""
"Men I Trust - Numb","","","Tudo e qualquer coisa","Playlist",""
"Silversun Pickups - Dots and Dashes (Enough Already)","","","Tudo e qualquer coisa","Playlist",""
"coldrain · Ryo - MAYDAY (feat. Ryo)","","","Tudo e qualquer coisa","Playlist",""
"Her's - Harvey","","","Tudo e qualquer coisa","Playlist",""
"coldrain - FEED THE FIRE","","","Tudo e qualquer coisa","Playlist",""
"Fernando Merlino Trio - I'm Not in Love","","","Tudo e qualquer coisa","Playlist",""
"JVKE · Tori Kelly · Jake Lawson · Zac Lawson - this is what floating feels like","","","Tudo e qualquer coisa","Playlist",""
"Cheap Trick - Mighty Wings (From ""Top Gun"" Original Soundtrack)","","","Tudo e qualquer coisa","Playlist",""
"Attila · Kile Odell · Kile Odell - Bite Your Tongue","","","Tudo e qualquer coisa","Playlist",""
"Bullet For My Valentine - All These Things I Hate (Revolve Around Me)","","","Tudo e qualquer coisa","Playlist",""
"C418 - Alpha","","","Tudo e qualquer coisa","Playlist",""
"឵឵឵","","","Tudo e qualquer coisa","Playlist",""
"Heavy Metal Moonlight Sonata","","","Tudo e qualquer coisa","Playlist",""
"Nouvelle Story · Dante Sarmiento - Be Yourself Or Die Dreaming","","","Tudo e qualquer coisa","Playlist",""
"The Warning - Six Feet Deep","","","Tudo e qualquer coisa","Playlist",""
"Jamiroquai - Virtual Insanity","","","Tudo e qualquer coisa","Playlist",""
"(K)NoW_NAME - Welcome トゥ 混沌","","","Tudo e qualquer coisa","Playlist",""
"Anonymouz - River","","","Tudo e qualquer coisa","Playlist",""
"Aimer - Hana No Uta","","","Tudo e qualquer coisa","Playlist",""
"Shiro SAGISU - Migawari no Sinnyuu","","","Tudo e qualquer coisa","Playlist",""
"Keep the Flag Flying (Guilty Gear XX)","","","Tudo e qualquer coisa","Playlist",""
"Arc System Works - Kill DOG As A Sacrifice To DOG","","","Tudo e qualquer coisa","Playlist",""
"Raito - Blood Drain -Again- (Eltnum Theme)","","","Tudo e qualquer coisa","Playlist",""
"Arc System Works - Condemnation Wings II","","","Tudo e qualquer coisa","Playlist",""
"Daisuke Ishiwatari - Stolz","","","Tudo e qualquer coisa","Playlist",""
"Arc System Works - Meet Again -Justice’s Theme-","","","Tudo e qualquer coisa","Playlist",""
"Jimmy Gnecco · Logan Mader/Jamie Christopherson · Logan Mader/Jamie Christopherson - It Has To Be This Way","","","Tudo e qualquer coisa","Playlist",""
"Kazuma Kiryu(Takaya Kuroda) · 堀井亮佑 · Hyd Lunch · Hyd Lunch - JUDGEMENT-審判-【Full Spec Edition】","","","Tudo e qualquer coisa","Playlist",""
"Overflow（Bloom Nobly, Ink-Black Cherry Blossom ~ Border of Life + Sakura, Sakura ~ Japanize...","","","Tudo e qualquer coisa","Playlist",""
"Naoki - Wanna be Crazy","","","Tudo e qualquer coisa","Playlist",""
"ATLUS Sound Team · ATLUS GAME MUSIC · 小塚良太 · 小塚良太 - Battle-b2","","","Tudo e qualquer coisa","Playlist",""
"JO☆STARS ～TOMMY,Coda,JIN～ · Shoko Fujibayashi · Kohei Tanaka · Kohei Tanaka · 村瀬恭久 - ジョジョ その血の記憶～END OF THE WORLD～","","","Tudo e qualquer coisa","Playlist",""
